86880000,86883999,5,PR,ARIRANHADOIVAI
28950000,28959999,9,RJ,ARMACAODOSBUZIOS
88740000,88744999,6,SC,ARMAZEM
28930000,28939999,9,RJ,ARRAIALDOCABO
95940000,95944999,4,RS,ARROIODOMEIO
96155000,96159999,8,RS,ARROIODOPADRE
95585000,95587999,5,RS,ARROIODOSAL
96950000,96989999,5,RS,ARROIODOTIGRE
96740000,96744999,6,RS,ARROIODOSRATOS
96330000,96359999,8,RS,ARROIOGRANDE
89590000,89594999,6,SC,ARROIOTRINTA
27185000,27185999,7,RJ,ARROZAL
13160000,13164999,5,SP,ARTURNOGUEIRA
76710000,76719999,10,GO,ARUANA
7400001,7499999,5,SP,ARUJA
89778000,89779999,5,SC,ARVOREDO
95995000,95996999,8,RS,ARVOREZINHA
89138000,89139999,6,SC,ASCURRA
15763000,15764999,6,SP,ASPASIA
86220000,86224999,5,PR,ASSAI
19800001,19819999,3,SP,ASSIS
69935000,69939999,16,AC,ASSISBRASIL
85935000,85939999,5,PR,ASSISCHATEAUBRIAND
13509000,13509970,4,SP,ASSISTENCIA
36780000,36783999,10,MG,ASTOLFODUTRA
86730000,86749999,6,PR,ASTORGA
87630000,87639999,6,PR,ATALAIA
88410000,88419999,8,SC,ATALANTA
39850000,39854999,18,MG,ATALEIA
12940001,12954999,6,SP,ATIBAIA
29490000,29499999,9,ES,ATILIOVIVACQUA
39219000,39219999,16,MG,AUGUSTODELIMA
98740000,98749999,6,RS,AUGUSTOPESTANA
99835000,99837999,6,RS,AUREA
15350000,15354999,6,SP,AURIFLAMA
76120000,76124999,12,GO,AURILANDIA
89186000,89187999,6,SC,AURORA
16680000,16699999,6,SP,AVAI
16360000,16369999,7,SP,AVANHANDAVA
18700001,18709999,6,SP,AVARE
26980970,26980970,8,RJ,AVELAR
75395000,75395999,12,GO,AVELINOPOLIS
35459000,35459999,6,MG,BACAO
15115000,15119999,6,SP,BADYBASSITT
37443000,37444999,7,MG,BAEPENDI
96400001,96444999,5,RS,BAGE
15405000,15405970,9,SP,BAGUACU
29730000,29744999,10,ES,BAIXOGUANDU
16640000,16649999,6,SP,BALBINOS
35732000,35735999,18,MG,BALDIM
76250000,76254999,12,GO,BALIZA
88914000,88914999,4,SC,BALNEARIOARROIODOSILVA
89247000,89247999,6,SC,BALNEARIOBARRADOSUL
88330001,88339999,7,SC,BALNEARIOCAMBORIU
88955000,88959999,6,SC,BALNEARIOGAIVOTA
